,Zipcode,2018 Population,2018 Median Age,2018 Household Income,2018 Per Capita Income,2018 Poverty Count,2018 Poverty Rate,Latitude,Longitude,2017 Population,2017 Mediann Age,2017 Household Income,2017 Per Capita Income,2017 Poverty Count,2017 Poverty Rate,2016 Population,2016 Median Age,2016 Household Income,2016 Per Capita Income,2016 Poverty Count,2016 Poverty Rate
0,90001,58975.0,29.1,38521.0,12835.0,16911.0,28.67486222975837,33.9731,-118.2479,58738.0,28.7,35660.0,11882.0,18654.0,31.757976097245393,57942.0,28.0,34323.0,11294.0,18902.0,32.62227744986366
1,90002,53111.0,27.7,35410.0,12372.0,17365.0,32.69567509555459,33.9497,-118.2462,52856.0,27.7,34000.0,11807.0,17795.0,33.666944150143784,51826.0,27.5,32520.0,11212.0,18302.0,35.31432099718288
2,90005,39479.0,35.8,35149.0,22694.0,11036.0,27.954102180906304,34.0585,-118.3012,39562.0,35.4,32461.0,21566.0,11300.0,28.562762246600272,39338.0,33.9,31485.0,20265.0,11520.0,29.28466114189841
3,90006,61698.0,33.2,35411.0,16383.0,17326.0,28.081947550974103,34.0493,-118.2917,62329.0,33.2,33790.0,15314.0,17720.0,28.429783888719534,61230.0,33.6,31993.0,14306.0,17456.0,28.508900865588764
4,90003,72741.0,28.6,37226.0,12316.0,22186.0,30.49999312629741,33.9653,-118.2727,70490.0,28.2,34397.0,11305.0,23212.0,32.92949354518371,70208.0,28.0,31878.0,10611.0,24556.0,34.9760711030082
5,90004,61586.0,35.0,48754.0,31139.0,11092.0,18.010586821680256,34.0762,-118.3029,62733.0,35.1,46581.0,30590.0,11985.0,19.104777389890486,63095.0,35.5,43180.0,29194.0,12919.0,20.4754734923528
6,90007,41716.0,24.7,25226.0,16212.0,15815.0,37.91111324192156,34.0294,-118.2871,41221.0,24.6,23070.0,13013.0,16513.0,40.05967831930327,41979.0,24.3,22485.0,11658.0,17605.0,41.937635484408865
7,90008,31739.0,42.9,39907.0,31172.0,6926.0,21.821733513973346,34.0116,-118.3411,32359.0,43.0,36641.0,28926.0,7207.0,22.272010877962853,32060.0,43.7,36134.0,28316.0,6769.0,21.113537117903928
8,90010,3702.0,38.4,61849.0,42734.0,457.0,12.34467855213398,34.0606,-118.3027,3759.0,38.8,47115.0,36598.0,535.0,14.232508645916466,3524.0,38.8,47569.0,37831.0,581.0,16.48694665153235
9,90013,11937.0,44.1,21676.0,39316.0,5347.0,44.79349920415515,34.0448,-118.2434,11957.0,43.4,22808.0,37228.0,5318.0,44.47603914025258,11668.0,43.7,22058.0,33518.0,5229.0,44.8148782996229
10,90014,8335.0,42.3,35857.0,47740.0,3030.0,36.35272945410918,34.0443,-118.2509,7408.0,40.5,37619.0,46026.0,2560.0,34.557235421166304,7191.0,41.3,23580.0,39272.0,2809.0,39.06271728549576
11,90017,26728.0,31.0,31423.0,24409.0,10922.0,40.863513917988634,34.0559,-118.2666,26390.0,30.8,28638.0,21874.0,11123.0,42.148541114058354,25772.0,30.9,25143.0,20413.0,11732.0,45.522272233431636
12,90021,2922.0,40.3,15149.0,30468.0,1269.0,43.42915811088296,34.0333,-118.2447,3158.0,42.9,12864.0,30598.0,1530.0,48.44838505383154,2954.0,43.7,12370.0,23213.0,1459.0,49.390656736628294
13,90011,109414.0,28.4,36954.0,11985.0,35874.0,32.787394666130474,34.0079,-118.2582,108051.0,28.0,33824.0,10887.0,38839.0,35.94506297951893,104762.0,28.2,31684.0,10103.0,40661.0,38.81273744296596
14,90012,35913.0,35.2,42275.0,27356.0,7832.0,21.808258847771,34.0614,-118.2385,33783.0,35.5,38786.0,24502.0,7531.0,22.29227718083059,32543.0,35.8,32712.0,21989.0,7755.0,23.830009525858088
15,90015,21801.0,31.8,39016.0,32600.0,7182.0,32.943442961332046,34.0434,-118.2716,20187.0,32.4,32979.0,31423.0,7413.0,36.72165254866994,19378.0,32.8,30463.0,28731.0,7366.0,38.0121787594179
16,90016,46581.0,36.4,46680.0,24790.0,9659.0,20.73592237178249,34.0298,-118.3528,46303.0,37.1,43443.0,23410.0,10235.0,22.104399282983824,47079.0,36.1,41140.0,21578.0,10438.0,22.171244079101086
17,90018,53256.0,34.4,41768.0,20658.0,12091.0,22.70354514045366,34.029,-118.3152,52287.0,34.9,37341.0,18577.0,12899.0,24.669611949432937,51639.0,34.8,35696.0,17937.0,13485.0,26.11398361703364
18,90019,66245.0,38.0,52625.0,31994.0,11450.0,17.284323345158125,34.0482,-118.3343,67415.0,37.8,50671.0,30842.0,12434.0,18.44396647630349,68530.0,37.6,47518.0,28915.0,14117.0,20.599737341310373
19,90020,39102.0,34.7,46504.0,29899.0,6420.0,16.418597514193646,34.0665,-118.3022,39191.0,34.5,42407.0,28351.0,7123.0,18.17509121992294,40170.0,34.2,40353.0,27106.0,7826.0,19.48220064724919
20,90022,65890.0,32.3,43366.0,16180.0,13970.0,21.20200333889816,34.0245,-118.1561,67446.0,32.1,41276.0,14895.0,15366.0,22.782670580909173,67191.0,31.9,40650.0,14423.0,15659.0,23.305204566087717
21,90025,47967.0,33.6,83655.0,53136.0,5491.0,11.447453457585425,34.0447,-118.4487,47453.0,34.1,78713.0,50487.0,5798.0,12.21840558025836,46520.0,34.1,72653.0,49219.0,5871.0,12.620378331900255
22,90027,44686.0,38.2,64091.0,50282.0,6196.0,13.865640245266974,34.104,-118.2925,45616.0,38.0,58344.0,46196.0,6880.0,15.082427218519818,46043.0,38.2,52922.0,41744.0,7539.0,16.373824468431682
23,90031,38535.0,35.7,44343.0,20318.0,8330.0,21.61671207992734,34.0783,-118.2113,39103.0,35.6,41126.0,18906.0,9621.0,24.604250313275195,38940.0,35.6,36801.0,17069.0,10800.0,27.73497688751926
24,90032,47627.0,33.9,50989.0,20814.0,9378.0,19.69051168454868,34.0818,-118.1753,47766.0,33.6,47370.0,19476.0,10031.0,21.000293095507267,47285.0,33.7,45218.0,18613.0,10833.0,22.91001374643121
25,90023,46780.0,32.0,41308.0,14157.0,11808.0,25.241556220607094,34.0245,-118.1975,47229.0,31.3,40225.0,13689.0,12316.0,26.07719833153359,46611.0,30.6,37472.0,12875.0,13071.0,28.042736693055293
26,90024,50288.0,22.5,63306.0,43406.0,12151.0,24.16282214444798,34.0637,-118.4408,49718.0,22.7,59418.0,42697.0,12715.0,25.574238706303554,49737.0,23.0,57210.0,43727.0,12553.0,25.238755855801514
27,90026,69589.0,34.7,60820.0,34316.0,13614.0,19.563436750061072,34.0766,-118.2646,68609.0,34.6,54342.0,32107.0,14591.0,21.266889183634802,67557.0,34.5,51568.0,30685.0,15000.0,22.20347262311825
28,90028,30734.0,35.7,43998.0,36703.0,6894.0,22.431183705342622,34.1005,-118.3254,31054.0,34.4,40068.0,32587.0,7448.0,23.984027822502732,31122.0,34.1,35729.0,28361.0,8369.0,26.890945311997946
29,90029,37898.0,35.7,39562.0,22947.0,9246.0,24.39706580822207,34.09,-118.2944,38843.0,35.9,37379.0,22103.0,9359.0,24.094431429086317,40242.0,35.4,35132.0,19918.0,11062.0,27.488693404900356
30,90033,47583.0,31.1,35548.0,14851.0,14854.0,31.217031292688564,34.0487,-118.2084,48841.0,30.0,31683.0,13332.0,16777.0,34.350238529104644,49156.0,29.5,29499.0,12212.0,18025.0,36.66897225160713
31,90034,55652.0,33.7,71295.0,45844.0,6200.0,11.14065981456192,34.029,-118.4005,56070.0,33.6,65572.0,42477.0,7379.0,13.160335295166755,57443.0,33.4,60965.0,39185.0,8524.0,14.839057848649967
32,90037,65016.0,30.0,33856.0,13283.0,22210.0,34.16082195151962,34.003,-118.2863,63238.0,30.1,31045.0,12433.0,23361.0,36.94139599607831,61451.0,29.7,27129.0,11330.0,24624.0,40.07095083887976
33,90039,29589.0,38.1,86031.0,48035.0,2893.0,9.777282098076988,34.1121,-118.2594,29092.0,38.5,81394.0,45616.0,2941.0,10.109308400934967,28436.0,39.3,77361.0,44638.0,2636.0,9.269939513293007
34,90042,63911.0,35.1,59746.0,27780.0,10546.0,16.501071802976014,34.1145,-118.1929,63788.0,35.0,55596.0,25401.0,12358.0,19.37354988399072,63109.0,34.7,51444.0,23314.0,13124.0,20.79576605555468
35,90043,44627.0,40.6,47500.0,29541.0,8961.0,20.07977233513344,33.9871,-118.3321,44571.0,39.4,41812.0,27437.0,9400.0,21.089946377689532,44328.0,40.0,41449.0,26687.0,8983.0,20.264843890994406
36,90045,41149.0,35.1,96812.0,52519.0,3475.0,8.444919682130793,33.9631,-118.3941,41420.0,35.0,90399.0,48661.0,3938.0,9.50748430709802,41145.0,34.7,81058.0,44571.0,4180.0,10.159193097581722
37,90035,28085.0,36.8,79534.0,55360.0,3351.0,11.931636104682214,34.0531,-118.3806,29920.0,36.1,76677.0,51296.0,3383.0,11.306818181818182,30582.0,36.4,74667.0,50335.0,3449.0,11.277875874697536
38,90036,37988.0,34.7,80998.0,58567.0,3961.0,10.426976940086343,34.0699,-118.3492,38116.0,34.4,74279.0,53842.0,4485.0,11.766712141882675,37931.0,34.3,71917.0,52023.0,5072.0,13.371648519680473
39,90038,27660.0,33.8,39984.0,26001.0,7315.0,26.446131597975416,34.0898,-118.3215,27957.0,33.4,36996.0,24758.0,7956.0,28.457989054619592,28155.0,32.2,35739.0,23709.0,8524.0,30.275261942816552
40,90040,12645.0,34.7,46532.0,17821.0,2065.0,16.330565440885724,33.9909,-118.1532,12925.0,34.6,43585.0,16510.0,2088.0,16.154738878143135,12812.0,34.0,41897.0,15633.0,2204.0,17.202622541367468
41,90041,29516.0,39.7,80547.0,38137.0,2949.0,9.991191218322266,34.1339,-118.2082,28651.0,39.3,73250.0,35817.0,2902.0,10.128791316184426,28405.0,39.7,68457.0,33467.0,3018.0,10.624889984157717
42,90044,96436.0,30.8,34311.0,15416.0,30703.0,31.83769546642333,33.9551,-118.2901,94680.0,30.8,32278.0,14430.0,32596.0,34.42754541613857,90155.0,30.7,30288.0,13515.0,32168.0,35.68077200377128
43,90046,50587.0,38.9,67667.0,65751.0,6557.0,12.961828137663824,34.1074,-118.3652,51615.0,38.8,65990.0,63973.0,6847.0,13.265523588104234,50923.0,39.2,61157.0,61916.0,7274.0,14.28431160772146
44,90048,22892.0,37.3,95197.0,76790.0,1823.0,7.963480691944784,34.0737,-118.37200000000001,22860.0,36.7,85396.0,70123.0,1942.0,8.495188101487312,22722.0,36.5,83672.0,67985.0,2021.0,8.894463515535604
45,90057,49492.0,33.7,33861.0,16600.0,15667.0,31.655621110482503,34.0622,-118.2763,49389.0,34.1,31337.0,15492.0,16961.0,34.34165502439814,48302.0,33.3,29332.0,14399.0,17039.0,35.2759720094406
46,90058,2758.0,25.8,20982.0,10862.0,1420.0,51.48658448150834,33.9994,-118.2133,3189.0,23.5,16425.0,9429.0,1774.0,55.628723737848865,2674.0,23.5,15224.0,8260.0,1895.0,70.86761406133135
47,90047,48883.0,40.0,47477.0,24189.0,8990.0,18.390851625309416,33.9569,-118.3073,48491.0,39.6,42551.0,21712.0,9660.0,19.92122249489596,48306.0,39.0,40913.0,20815.0,10238.0,21.19405456879063
48,90049,36964.0,40.7,127658.0,101869.0,2581.0,6.9824694297153975,34.066,-118.47399999999999,36362.0,40.6,121671.0,99599.0,2659.0,7.312579066057973,35581.0,41.2,117007.0,96078.0,2365.0,6.646805879542452
49,90056,7795.0,49.5,86100.0,56024.0,573.0,7.350865939704938,33.9853,-118.3707,8014.0,50.3,84438.0,54647.0,558.0,6.9628150736211625,8118.0,50.1,74959.0,47886.0,483.0,5.949741315594975
50,90059,45952.0,26.9,41995.0,13197.0,13897.0,30.24242688022284,33.9293,-118.2463,47351.0,26.3,37653.0,12208.0,16204.0,34.2210301788769,46027.0,26.3,35061.0,11822.0,16688.0,36.25697959893107
51,90062,34422.0,34.6,44835.0,19099.0,7716.0,22.415896810179532,34.0032,-118.3073,33627.0,34.6,40018.0,17269.0,7776.0,23.12427513605139,33690.0,34.3,37293.0,15316.0,8836.0,26.227367171267442
52,90063,52951.0,32.5,46613.0,17166.0,10910.0,20.603954599535424,34.0451,-118.1859,53556.0,31.8,44121.0,16107.0,11991.0,22.389648218686986,54142.0,31.2,41267.0,14703.0,13729.0,25.35739352074175
53,90064,25429.0,39.7,95865.0,66508.0,2362.0,9.288607495379292,34.0353,-118.4259,26007.0,38.5,92194.0,61983.0,2354.0,9.05140923597493,27032.0,38.3,92626.0,59338.0,2263.0,8.371559633027523
54,90065,47887.0,37.1,63147.0,31523.0,7509.0,15.680664898615492,34.1073,-118.2266,48420.0,36.5,58405.0,28540.0,8524.0,17.604295745559682,46965.0,37.0,54796.0,27209.0,9086.0,19.34632172894709
55,90066,59394.0,37.8,79088.0,48514.0,6053.0,10.191265110953971,34.003,-118.4298,59747.0,37.1,75209.0,45168.0,6335.0,10.603042830602373,59258.0,37.5,72004.0,42388.0,6448.0,10.881231226163557
56,90061,27646.0,30.7,39739.0,15992.0,7718.0,27.91723938363597,33.9245,-118.2716,28003.0,29.9,37126.0,14215.0,8634.0,30.832410813127165,27203.0,29.1,36094.0,13927.0,8926.0,32.81255743851781
57,90067,2314.0,61.8,129306.0,135962.0,96.0,4.148660328435609,34.0551,-118.4095,2235.0,65.4,123889.0,148638.0,108.0,4.832214765100671,2355.0,65.8,120208.0,152254.0,176.0,7.473460721868364
58,90068,20982.0,42.5,83756.0,81972.0,2277.0,10.852158993422933,34.1156,-118.3305,21726.0,40.5,82718.0,81674.0,2238.0,10.301021817177576,21450.0,39.7,76485.0,75182.0,2490.0,11.608391608391607
59,90073,916.0,54.7,-666666666.0,11950.0,480.0,52.40174672489082,33.7866,-118.2987,944.0,55.9,-666666666.0,11695.0,461.0,48.83474576271186,915.0,54.3,-666666666.0,11281.0,439.0,47.97814207650274
60,90077,8993.0,49.0,210833.0,116179.0,362.0,4.0253530523740695,34.1112,-118.4502,8936.0,49.2,184722.0,110727.0,372.0,4.162936436884512,8912.0,47.9,178194.0,100874.0,311.0,3.48967684021544
61,90089,3862.0,19.1,-666666666.0,7388.0,16.0,0.4142931123770067,33.7866,-118.2987,3846.0,19.1,-666666666.0,6764.0,15.0,0.39001560062402496,3680.0,19.1,-666666666.0,7110.0,13.0,0.3532608695652174
